time_hrs,B_in_out,B_squash,B_left_right
0.000000,0.00002,-0.00012,-0.00002
0.016667,-0.06356,0.09969,0.03117
0.033333,0.05609,0.12385,0.04366
0.050000,0.05021,0.08396,0.02785
0.066667,-0.00782,0.02134,-0.01538
0.083333,-0.01020,-0.03791,-0.03720
0.100000,-0.02545,-0.05591,-0.03162
0.116667,-0.01808,-0.06524,-0.02765
0.133333,-0.02548,-0.08783,0.00775
0.150000,0.01513,-0.02763,0.07279
0.166667,0.03875,0.04764,0.05709
0.183333,-0.06108,0.00228,-0.05282
0.200000,-0.02218,-0.01218,-0.06596
0.216667,0.13170,0.08754,0.01789
0.233333,0.05984,0.13164,0.01767
0.250000,-0.06159,0.09934,0.00312
0.266667,0.01258,0.01773,0.03588
0.283333,-0.04917,-0.18247,-0.00336
0.300000,-0.19501,-0.27227,-0.07946
0.316667,-0.03399,-0.04736,-0.03241
0.333333,0.11376,0.14731,0.06936
0.350000,0.12425,0.09272,0.03430
0.366667,0.15884,0.01564,-0.00371
0.383333,-0.00357,0.02183,0.05411
0.400000,-0.14835,0.04259,-0.00815
0.416667,-0.07710,0.04041,-0.11235
0.433333,-0.02817,0.01319,-0.03335
0.450000,-0.02110,-0.04636,0.06811
0.466667,-0.00401,-0.10520,0.01711
0.483333,0.06523,-0.09035,-0.03038
0.500000,0.07745,-0.01745,0.01900
0.516667,-0.00767,0.06055,0.01744
0.533333,0.00642,0.08491,-0.00674
0.550000,0.00059,0.05262,0.03352
0.566667,-0.05268,0.03837,0.01861
0.583333,-0.02714,0.00331,-0.04622
0.600000,-0.01453,-0.05651,-0.05154
0.616667,0.00508,-0.06123,-0.01605
0.633333,0.03587,-0.05049,0.00933
0.650000,0.03464,-0.01892,0.03022
0.666667,-0.00108,0.05162,0.04758
0.683333,-0.04232,0.06139,0.02755
0.700000,-0.00709,0.01388,-0.00733
0.716667,0.00478,-0.01927,-0.04668
0.733333,-0.00001,-0.03003,-0.07167
0.750000,0.04003,-0.03639,0.00482
0.766667,0.01811,-0.00843,0.07279
0.783333,-0.00174,0.07780,0.01210
0.800000,-0.00861,0.07671,0.00586
0.816667,-0.05406,-0.00037,0.04127
0.833333,-0.07938,-0.02729,-0.05172
0.850000,-0.02541,-0.08846,-0.07408
0.866667,0.09064,-0.11856,0.00484
0.883333,0.08628,-0.01086,-0.00522
0.900000,0.02602,0.10190,0.01469
0.916667,0.01761,0.06232,0.08071
0.933333,0.00212,-0.01528,0.07312
0.950000,-0.02384,0.06910,-0.02108
0.966667,-0.16270,0.05923,-0.12399
0.983333,-0.12544,-0.10490,-0.04762
1.000000,0.12639,-0.06567,0.04069
1.016667,0.11046,0.04443,-0.01627
1.033333,0.03128,-0.01177,0.03545
1.050000,0.02727,-0.03852,0.09424
1.066667,-0.02720,0.03442,0.00444
1.083333,-0.00367,-0.00275,-0.04608
1.100000,-0.02859,-0.04756,-0.04703
1.116667,-0.09154,0.05175,-0.03035
1.133333,-0.03490,0.05883,0.00074
1.150000,0.05928,-0.00229,0.00652
1.166667,0.07710,-0.00933,0.04065
1.183333,0.01558,-0.05298,0.04531
1.200000,-0.00941,-0.03805,-0.00932
1.216667,-0.00386,0.03365,-0.02622
1.233333,-0.02544,0.04233,-0.02845
1.250000,-0.03384,0.00290,-0.01864
1.266667,-0.01985,-0.02011,0.01950
1.283333,0.01071,0.00645,0.02232
1.300000,0.03504,-0.00361,0.01044
1.316667,0.02205,-0.04105,0.00656
1.333333,0.00543,-0.02817,-0.01512
1.350000,0.00211,0.01748,-0.02806
1.366667,-0.03952,0.07426,-0.00565
1.383333,-0.02931,0.05208,0.02157
1.400000,0.05433,-0.01753,0.00759
1.416667,0.00234,-0.02955,-0.00537
1.433333,-0.05427,-0.05444,0.01206
1.450000,0.02058,-0.05652,-0.00148
1.466667,0.01513,-0.01716,-0.01933
1.483333,0.00657,0.01510,0.00806
1.500000,0.03270,0.10004,0.02070
1.516667,-0.02125,0.07272,-0.01304
1.533333,-0.01862,-0.06564,-0.02362
1.550000,-0.00581,-0.03909,0.00538
1.566667,-0.01552,0.04671,0.00688
1.583333,0.02648,0.02671,0.00271
1.600000,-0.00649,-0.04535,0.01471
1.616667,-0.04072,-0.03576,0.00129
1.633333,0.01190,0.00672,-0.01514
1.650000,0.05364,-0.08907,-0.01404
1.666667,0.04301,-0.04061,0.01221
1.683333,-0.02093,0.12521,0.03379
1.700000,-0.04381,0.04869,-0.00171
1.716667,-0.02850,-0.02361,-0.04350
1.733333,-0.00531,0.02227,-0.03921
1.750000,0.02358,0.08145,0.01000
1.766667,-0.02419,0.09229,0.04521
1.783333,-0.00117,-0.09404,0.04111
1.800000,0.07285,-0.23701,0.03248
1.816667,0.02383,-0.15096,-0.04171
1.833333,-0.01670,0.06827,-0.08204
1.850000,-0.04187,0.24918,0.00754
1.866667,-0.05652,0.11893,0.03197
1.883333,0.00103,-0.09797,0.00423
1.900000,0.04282,-0.06757,0.01764
1.916667,0.04495,0.00435,-0.00668
1.933333,-0.00066,0.00812,-0.01686
1.950000,-0.04916,0.03588,0.01435
1.966667,-0.03027,-0.00448,0.01772
1.983333,0.03190,-0.08434,-0.01178
2.000000,0.05444,-0.03485,-0.02019
2.016667,-0.00825,0.06397,0.00684
2.033333,-0.03436,0.04880,-0.00138
2.050000,-0.01051,-0.01994,-0.00152
2.066667,-0.00113,0.00138,0.02907
2.083333,0.02134,0.02342,0.00552
2.100000,0.00266,-0.04643,-0.02666
2.116667,-0.02504,-0.06747,-0.03116
2.133333,-0.00402,0.00086,-0.01167
2.150000,0.00061,0.09599,0.02040
2.166667,-0.00126,0.09675,0.01882
2.183333,0.01348,-0.04078,0.03575
2.200000,0.01779,-0.09990,0.03924
2.216667,0.01781,-0.03613,-0.03511
2.233333,0.01723,0.00554,-0.06475
2.250000,-0.01074,0.00802,-0.01149
2.266667,-0.04841,0.04882,0.01681
2.283333,-0.04070,0.07345,0.00028
2.300000,0.00180,-0.01263,0.00013
2.316667,0.02603,-0.05043,0.02259
2.333333,0.01773,-0.04121,0.02375
2.350000,0.02122,-0.04864,0.01359
2.366667,0.02686,0.03283,0.00525
2.383333,-0.00692,0.05735,-0.03046
2.400000,-0.03075,0.02406,-0.03706
2.416667,-0.01861,0.00353,0.00070
2.433333,0.02574,-0.05739,-0.01634
2.450000,0.01985,0.00628,-0.00734
2.466667,-0.06415,0.03271,0.06564
2.483333,-0.03698,-0.03479,0.03031
2.500000,0.03078,0.04127,-0.04311
2.516667,0.03088,-0.00947,-0.00210
2.533333,0.06138,-0.09327,0.02378
2.550000,0.01347,0.04017,-0.03176
2.566667,-0.04634,0.05340,-0.00785
2.583333,-0.01854,-0.00694,0.02905
2.600000,-0.02994,0.00867,-0.05154
2.616667,0.00655,-0.02825,-0.01066
2.633333,0.03857,-0.03725,0.09828
2.650000,-0.02892,0.02321,-0.01318
2.666667,-0.02572,0.06412,-0.10056
2.683333,0.03545,0.02989,0.01169
2.700000,0.03640,-0.02722,0.07184
2.716667,-0.03574,-0.04524,0.00954
2.733333,-0.05598,-0.03885,0.00854
2.750000,0.05437,-0.03528,0.03614
2.766667,0.08165,-0.01756,-0.06591
2.783333,-0.02016,0.08032,-0.10881
2.800000,-0.05604,0.06172,0.00527
2.816667,-0.03303,-0.04567,0.06426
2.833333,-0.01214,0.03290,0.04885
