time_hours,B_magnitude,He,Bz,E1,E2,MPS_LO
0.0083,110.961,-23.6256,109.002,16151.9,7071.41,497546
0.0250,111.012,-23.5728,109.054,16310.8,7102.82,481283
0.0417,111.006,-23.7175,109.041,16253.3,7052.07,466310
0.0583,110.902,-23.6929,108.931,16234.2,7106.64,485489
0.0750,110.761,-23.6613,108.782,16195.5,7091.32,505717
0.0917,110.646,-23.6414,108.657,16204.4,7027.9,445681
0.1083,110.599,-23.6584,108.603,16169.1,7035.7,459710
0.1250,110.606,-23.6732,108.596,16166.7,7017.18,460400
0.1417,110.636,-23.6983,108.617,16283.8,7097.91,498092
0.1583,110.787,-23.7653,108.756,16386.2,7143.73,492224
0.1750,110.925,-23.8097,108.866,16526.9,7191.47,507114
0.1917,110.884,-23.7229,108.793,16499,7217.07,485712
0.2083,110.828,-23.7355,108.715,16562.1,7220.93,497798
0.2250,110.849,-23.9138,108.725,16658.2,7269.08,490011
0.2417,110.686,-23.793,108.556,16715.3,7267.86,490435
0.2583,110.417,-23.7247,108.278,16602.2,7261,532298
0.2750,110.124,-23.7658,107.987,16605.6,7300.01,504818
0.2917,109.743,-23.8019,107.588,16589.9,7236.74,520096
0.3083,109.534,-23.6784,107.371,16523.2,7236.18,510826
0.3250,109.776,-23.9777,107.572,16672,7307.98,532242
0.3417,110.098,-24.183,107.879,16915.9,7388.03,537071
0.3583,110.157,-24.2447,107.896,16863.7,7327.7,529195
0.3750,110.238,-24.2584,107.95,16836.4,7338.5,489726
0.3917,110.333,-24.061,108.037,17141.5,7473.91,555500
0.4083,110.387,-23.8268,108.075,17311.2,7574.07,571265
0.4250,110.393,-23.8228,108.037,17256.9,7571.5,592311
0.4417,110.316,-23.766,107.967,17381.8,7617.61,570174
0.4583,110.208,-23.7176,107.87,17481.7,7641.49,573438
0.4750,110.015,-23.6801,107.663,17463.6,7586.06,599608
0.4917,109.949,-23.7296,107.578,17440.9,7602.64,517066
0.5083,109.901,-23.7539,107.525,17572.1,7619.98,571104
0.5250,109.878,-23.6633,107.5,17567.9,7560.2,569975
0.5417,109.781,-23.6987,107.381,17555,7626.57,558310
0.5583,109.653,-23.6832,107.254,17499.4,7511.34,552733
0.5750,109.506,-23.6333,107.096,17435.5,7424.84,556375
0.5917,109.365,-23.6638,106.931,17538.6,7391.56,571434
0.6083,109.203,-23.6691,106.762,17440.4,7397.17,529008
0.6250,109.152,-23.7118,106.701,17420.9,7368.39,587650
0.6417,109.122,-23.7474,106.668,17576.1,7283.74,585696
0.6583,109.174,-23.7697,106.704,17530,7309.5,602710
0.6750,109.242,-23.7432,106.769,17590.1,7302.91,568249
0.6917,109.296,-23.7074,106.803,17631.9,7260.93,589733
0.7083,109.251,-23.7293,106.738,17753.5,7284.78,575542
0.7250,109.226,-23.7294,106.687,17711.5,7303.87,608690
0.7417,109.165,-23.7107,106.605,17773.8,7312.99,587606
0.7583,109.089,-23.7406,106.525,17781.9,7263.06,564930
0.7750,109.036,-23.7429,106.467,17775.4,7284.62,580813
0.7917,108.951,-23.7313,106.358,17792,7308.79,598245
0.8083,108.88,-23.8033,106.266,17872.9,7275.86,571902
0.8250,108.667,-23.7707,106.056,17729.2,7254.32,599708
0.8417,108.625,-23.8414,105.984,17661.6,7237.64,602831
0.8583,108.541,-23.9063,105.881,17694.1,7217.82,623154
0.8750,108.596,-24.063,105.936,17680.5,7229.62,595442
0.8917,108.762,-24.0474,106.086,17849.1,7240.51,574148
0.9083,108.898,-23.9542,106.236,17841.8,7222.21,628698
0.9250,108.903,-23.8742,106.247,17612.6,7130.56,590703
0.9417,108.758,-23.7936,106.113,17419.3,7130.32,575986
0.9583,108.722,-23.674,106.053,17524.4,7117.71,596643
0.9750,108.512,-23.5462,105.839,17731.1,7175.89,595173
0.9917,108.138,-23.4858,105.475,17575.1,7174.43,604718
1.0083,108.029,-23.8317,105.343,17358.5,7040.32,600530
1.0250,107.891,-23.7823,105.182,17198.1,6974.76,560608
1.0417,107.683,-23.7919,104.981,17036.9,6921.44,590879
1.0583,107.549,-23.7966,104.841,16823.1,6893.57,624240
1.0750,107.543,-23.7752,104.81,16881.2,6900.92,597580
1.0917,107.535,-23.84,104.769,16873,6857.84,613207
1.1083,107.516,-23.7922,104.745,16864,6860.37,592650
1.1250,107.714,-23.783,104.931,16844.1,6929.09,655662
1.1417,107.81,-23.827,105.018,16904.5,6919.04,640937
1.1583,107.856,-23.9347,105.041,16756.3,6912.06,587156
1.1750,107.931,-23.9673,105.112,16761.4,6910.77,614290
1.1917,107.907,-23.8833,105.09,16720.5,6899.39,625377
1.2083,107.943,-23.8836,105.107,16793.3,6949.66,618712
1.2250,107.992,-23.8583,105.141,16653.6,6972.77,662128
1.2417,107.977,-23.849,105.116,16734.6,6949.63,613997
1.2583,107.906,-23.8168,105.036,16614.5,6985.82,690084
1.2750,107.835,-23.826,104.959,16488.3,6927.25,693340
1.2917,107.841,-23.8622,104.943,16432.4,6983.05,686902
1.3083,107.774,-23.8777,104.857,16327.6,6991.86,695183
1.3250,107.715,-23.8754,104.782,16276.1,7024.72,740104
1.3417,107.68,-23.8574,104.729,16223.3,7069.54,725992
1.3583,107.704,-23.8618,104.735,16252.6,7106.63,757256
1.3750,107.741,-23.8343,104.761,16318.7,7140.21,719509
1.3917,107.713,-23.8359,104.726,16143,7212.07,701245
1.4083,107.672,-23.9376,104.652,16096.2,7259.12,702982
1.4250,107.658,-23.8711,104.63,16149.8,7316.58,658561
1.4417,107.667,-23.8459,104.628,16136.5,7340.87,639826
1.4583,107.693,-23.9015,104.626,16077.3,7393.25,651492
1.4750,107.755,-23.9349,104.658,16159.5,7437.24,689710
1.4917,107.783,-23.9078,104.676,16246.1,7465.48,636364
1.5083,107.831,-23.9734,104.697,16272.1,7484.9,640635
1.5250,107.73,-23.9101,104.583,16245.6,7540.05,651057
1.5417,107.479,-23.9321,104.316,16136.7,7518.16,649211
1.5583,107.409,-23.9713,104.23,16184.6,7525.45,693472
1.5750,107.365,-23.9958,104.169,16237.8,7530.44,681020
1.5917,107.274,-24.0882,104.05,16324.1,7531.09,648817
1.6083,107.134,-24.0778,103.903,16196.6,7535.55,620466
1.6250,107.144,-24.0944,103.893,16382.2,7590.07,651462
1.6417,107.19,-24.1668,103.909,16443.2,7641.25,677078
1.6583,107.175,-24.2229,103.873,16402.8,7554.6,671529
1.6750,107.207,-24.2102,103.895,16487.1,7630.59,638034
1.6917,107.394,-24.147,104.079,16673.7,7695.57,648534
1.7083,107.199,-24.0968,103.873,16642.2,7648.84,655797
1.7250,107.022,-24.0733,103.681,16558.8,7666.79,675739
1.7417,106.873,-24.0886,103.516,16544.4,7626.74,659719
1.7583,106.733,-24.0706,103.375,16616.9,7651.18,670648
1.7750,106.553,-24.047,103.189,16546.5,7632.64,687876
1.7917,106.199,-23.9907,102.831,16386.5,7540.74,747488
1.8083,105.987,-24.108,102.581,16315.5,7474.07,717597
1.8250,106.021,-24.0031,102.598,16502.6,7531.53,688870
1.8417,106.246,-24.0358,102.784,16674,7647.25,705135
1.8583,106.499,-23.9944,103.041,16890.5,7690.94,682530
1.8750,106.404,-24.0082,102.934,16746.9,7674.17,673927
1.8917,106.222,-24.0559,102.73,16604.2,7583.59,706160
1.9083,106.205,-24.1109,102.693,16584.6,7539.83,659810
1.9250,106.144,-24.1246,102.614,16671,7530.82,695580
1.9417,105.973,-24.0716,102.441,16571.7,7499.94,686604
1.9583,105.728,-23.9919,102.205,16456.6,7448.9,714185
1.9750,105.466,-23.9892,101.932,16365.4,7348.82,741423
1.9917,105.084,-23.9658,101.539,16206.7,7241.13,652315
2.0083,104.916,-23.9659,101.354,16159.6,7201.79,701151
2.0250,104.763,-23.8216,101.216,16121.6,7186.96,717080
2.0417,104.571,-23.7699,101.019,16147.9,7130.61,715580
2.0583,104.378,-23.7395,100.818,16101,7076.78,655506
2.0750,104.288,-23.7436,100.723,16033,7036.14,669589
2.0917,104.271,-23.7798,100.684,16052.6,7051.63,684224
2.1083,104.125,-23.778,100.526,16001.6,6983.88,681611
2.1250,104.088,-23.804,100.476,16095.1,6973.52,652186
