Time_hours,AE_nT,AL_nT,AU_nT
0.50,67.0,-15.0,53.0
1.50,72.0,-16.0,56.0
2.50,75.0,-22.0,53.0
3.50,67.0,-20.0,47.0
4.50,86.0,-22.0,64.0
5.50,74.0,-22.0,51.0
6.50,107.0,-47.0,60.0
7.50,95.0,-49.0,46.0
8.50,205.0,-123.0,82.0
9.50,236.0,-134.0,102.0
10.50,253.0,-162.0,91.0
11.50,109.0,-64.0,45.0
12.50,118.0,-51.0,67.0
13.50,117.0,-52.0,65.0
14.50,116.0,-44.0,71.0
15.50,121.0,-65.0,56.0
16.50,106.0,-50.0,56.0
17.50,98.0,-55.0,43.0
18.50,92.0,-62.0,31.0
19.50,67.0,-35.0,31.0
20.50,58.0,-32.0,26.0
21.50,66.0,-35.0,31.0
22.50,73.0,-37.0,36.0
23.50,71.0,-29.0,41.0
24.50,74.0,-23.0,51.0
25.50,84.0,-28.0,56.0
26.50,79.0,-31.0,49.0
27.50,83.0,-24.0,59.0
28.50,88.0,-18.0,70.0
29.50,68.0,-28.0,40.0
30.50,74.0,-37.0,38.0
31.50,60.0,-36.0,24.0
32.50,61.0,-33.0,28.0
33.50,100.0,-52.0,48.0
34.50,111.0,-49.0,62.0
35.50,122.0,-49.0,74.0
36.50,170.0,-93.0,77.0
37.50,163.0,-80.0,84.0
38.50,194.0,-122.0,72.0
39.50,152.0,-97.0,55.0
40.50,85.0,-37.0,47.0
41.50,84.0,-39.0,45.0
42.50,96.0,-41.0,54.0
43.50,138.0,-74.0,64.0
44.50,201.0,-142.0,58.0
45.50,97.0,-48.0,49.0
46.50,67.0,-24.0,43.0
47.50,100.0,-34.0,66.0
48.50,168.0,-64.0,104.0
49.50,479.0,-264.0,214.0
50.50,198.0,-66.0,131.0
51.50,203.0,-28.0,174.0
52.50,364.0,-126.0,238.0
53.50,225.0,-93.0,132.0
54.50,148.0,-56.0,92.0
55.50,247.0,-93.0,154.0
56.50,291.0,-132.0,160.0
57.50,92.0,-32.0,61.0
58.50,210.0,-78.0,132.0
59.50,388.0,-200.0,188.0
60.50,513.0,-294.0,219.0
61.50,375.0,-210.0,165.0
62.50,401.0,-240.0,161.0
63.50,262.0,-154.0,108.0
64.50,182.0,-115.0,68.0
65.50,1286.0,-763.0,523.0
66.50,1102.0,-791.0,311.0
67.50,1807.0,-1794.0,14.0
68.50,867.0,-453.0,414.0
69.50,714.0,-615.0,99.0
70.50,1073.0,-629.0,443.0
71.50,1305.0,-198.0,1107.0
72.50,874.0,-219.0,655.0
73.50,926.0,-742.0,185.0
74.50,1014.0,-707.0,307.0
75.50,717.0,-582.0,135.0
76.50,845.0,-759.0,86.0
77.50,896.0,-788.0,107.0
78.50,864.0,-559.0,305.0
79.50,1515.0,-947.0,569.0
80.50,1189.0,-598.0,591.0
81.50,1956.0,-1636.0,320.0
82.50,1506.0,-1358.0,149.0
83.50,998.0,-611.0,387.0
84.50,1606.0,-737.0,870.0
85.50,1966.0,-1865.0,102.0
86.50,1722.0,-1190.0,532.0
87.50,1606.0,-1232.0,374.0
88.50,1218.0,-1070.0,148.0
89.50,896.0,-610.0,286.0
90.50,563.0,-232.0,331.0
91.50,702.0,-394.0,308.0
92.50,758.0,-398.0,360.0
93.50,903.0,-580.0,322.0
94.50,443.0,-269.0,174.0
95.50,233.0,-129.0,104.0
96.50,563.0,-375.0,188.0
97.50,1064.0,-918.0,146.0
98.50,1083.0,-899.0,183.0
99.50,930.0,-741.0,190.0
100.50,785.0,-624.0,161.0
101.50,270.0,-125.0,145.0
102.50,231.0,-109.0,123.0
103.50,260.0,-102.0,157.0
104.50,362.0,-187.0,175.0
105.50,490.0,-321.0,169.0
106.50,215.0,-138.0,78.0
107.50,101.0,-58.0,44.0
108.50,96.0,-66.0,30.0
109.50,80.0,-54.0,26.0
110.50,76.0,-44.0,31.0
111.50,267.0,-129.0,138.0
112.50,301.0,-169.0,132.0
113.50,211.0,-136.0,75.0
114.50,305.0,-197.0,108.0
115.50,352.0,-206.0,145.0
116.50,676.0,-389.0,287.0
117.50,1381.0,-909.0,473.0
118.50,1203.0,-914.0,289.0
119.50,698.0,-459.0,240.0
120.50,456.0,-305.0,151.0
121.50,518.0,-300.0,218.0
122.50,492.0,-254.0,237.0
123.50,995.0,-596.0,399.0
124.50,566.0,-324.0,242.0
125.50,312.0,-169.0,142.0
126.50,354.0,-220.0,134.0
127.50,333.0,-177.0,156.0
128.50,234.0,-131.0,102.0
129.50,208.0,-69.0,139.0
130.50,274.0,-101.0,173.0
131.50,112.0,-36.0,76.0
132.50,140.0,-45.0,95.0
133.50,101.0,-37.0,63.0
134.50,62.0,-31.0,32.0
135.50,63.0,-32.0,31.0
136.50,83.0,-51.0,31.0
137.50,85.0,-62.0,23.0
138.50,160.0,-108.0,53.0
139.50,96.0,-49.0,46.0
140.50,86.0,-51.0,36.0
141.50,72.0,-42.0,30.0
142.50,71.0,-41.0,30.0
143.50,80.0,-49.0,31.0
144.50,67.0,-44.0,22.0
145.50,59.0,-40.0,19.0
146.50,51.0,-34.0,17.0
147.50,51.0,-33.0,18.0
148.50,73.0,-41.0,32.0
149.50,163.0,-78.0,85.0
