Time_hours,Bz_GSM_nT
0.50,2.3
1.50,2.1
2.50,-0.5
3.50,-0.7
4.50,0.8
5.50,0.4
6.50,1.5
7.50,0.7
8.50,1.2
9.50,-0.3
10.50,0.7
11.50,0.4
12.50,0.5
13.50,-0.5
14.50,1.7
15.50,2.3
16.50,0.1
17.50,1.1
18.50,1.7
19.50,1.1
20.50,1.7
21.50,1.5
22.50,0.7
23.50,1.7
24.50,0.8
25.50,0.4
26.50,-0.0
27.50,-1.5
28.50,-0.8
29.50,0.9
30.50,1.0
31.50,1.2
32.50,1.7
33.50,0.2
34.50,0.1
35.50,-0.0
36.50,-0.7
37.50,-1.1
38.50,-0.7
39.50,-0.2
40.50,0.7
41.50,1.2
42.50,1.9
43.50,-0.8
44.50,1.1
45.50,0.5
46.50,1.5
47.50,-1.0
48.50,-3.0
49.50,-3.7
50.50,0.1
51.50,-0.9
52.50,-3.4
53.50,-0.7
54.50,-1.0
55.50,-1.2
56.50,0.1
57.50,-0.2
58.50,-3.2
59.50,-3.1
60.50,-1.9
61.50,0.6
62.50,-1.0
63.50,-0.6
64.50,1.9
65.50,-5.9
66.50,-18.0
67.50,-1.2
68.50,-26.9
69.50,-35.0
70.50,-13.7
71.50,4.8
72.50,-35.3
73.50,-34.0
74.50,-20.5
75.50,-22.8
76.50,-18.9
77.50,5.9
78.50,-9.9
79.50,-18.0
80.50,-15.5
81.50,-35.2
82.50,-12.7
83.50,-1.3
84.50,-16.5
85.50,-22.3
86.50,-19.8
87.50,-14.6
88.50,-7.9
89.50,-4.6
90.50,2.0
91.50,0.8
92.50,0.2
93.50,0.9
94.50,8.0
95.50,3.5
96.50,0.5
97.50,-4.9
98.50,-3.2
99.50,2.2
100.50,1.9
101.50,3.0
102.50,2.8
103.50,1.8
104.50,1.0
105.50,1.0
106.50,5.3
107.50,4.4
108.50,3.5
109.50,2.9
110.50,0.1
111.50,1.0
112.50,2.0
113.50,1.9
114.50,0.9
115.50,1.2
116.50,-1.5
117.50,-4.9
118.50,-1.7
119.50,3.2
120.50,1.2
121.50,-2.0
122.50,-1.3
123.50,-2.4
124.50,-4.1
125.50,-4.6
126.50,-6.2
127.50,-2.9
128.50,4.3
129.50,4.1
130.50,5.0
131.50,3.0
132.50,4.4
133.50,3.8
134.50,4.3
135.50,4.5
136.50,4.6
137.50,2.0
138.50,3.8
139.50,4.0
140.50,3.3
141.50,4.0
142.50,4.8
143.50,4.7
144.50,5.0
145.50,4.6
146.50,3.6
147.50,3.0
148.50,2.7
149.50,0.8
150.50,2.0
151.50,4.8
152.50,4.1
153.50,3.8
154.50,4.3
155.50,2.6
156.50,-0.2
157.50,0.7
158.50,0.4
159.50,0.2
160.50,1.5
161.50,2.5
162.50,0.4
163.50,-0.0
164.50,2.0
165.50,2.4
166.50,1.4
167.50,1.3
