time (hours),Bz,B magnitude,Solar Wind Speed (km/s),proton density
0.000000,0.726000,2.066000,454.690002,2.841000
0.016667,0.099750,1.721000,454.944379,2.845972
0.033333,-0.087000,1.538000,456.047817,2.775556
0.050000,0.233500,1.914000,455.895008,2.670520
0.066667,0.233000,2.289000,455.517663,2.576489
0.083333,-0.075000,2.088250,456.961401,2.593823
0.100000,-0.065500,2.137000,456.846087,2.745645
0.116667,-0.722250,1.837250,455.476401,2.615569
0.133333,-1.008000,2.117000,454.743272,2.598422
0.150000,0.688250,2.576750,458.894855,2.484805
0.166667,0.291000,2.336000,457.836265,2.541697
0.183333,-0.199250,2.586000,454.611262,2.553509
0.200000,0.651000,2.068000,457.023904,2.432619
0.216667,0.634500,2.116500,455.559533,2.576866
0.233333,0.830000,2.467500,454.424377,2.615872
0.250000,0.750750,2.621750,454.098593,2.587044
0.266667,1.074000,2.526000,456.077962,2.562825
0.283333,0.210500,2.491500,456.342804,2.546325
0.300000,1.369500,2.727500,455.508898,2.565893
0.316667,0.258750,3.057750,455.143274,2.614971
0.333333,-0.389000,2.659000,457.054994,2.536491
0.350000,-0.792500,2.877750,459.572654,2.457928
0.366667,-0.166500,2.562000,457.283908,2.619331
0.383333,0.333500,2.337750,456.565861,2.575091
0.400000,1.610000,2.426000,461.623678,2.624435
0.416667,1.567500,2.571500,465.502978,2.673779
0.433333,1.918000,2.643500,456.559538,2.721803
0.450000,1.493250,2.700250,455.931401,2.691991
0.466667,1.045000,2.711000,452.996575,2.798266
0.483333,0.547000,2.746500,452.308744,2.704755
0.500000,0.050000,2.716500,452.768273,2.876226
0.516667,0.332250,2.858500,453.970625,2.679773
0.533333,1.111000,3.032000,455.159524,2.804411
0.550000,1.594000,3.098000,458.245152,2.816211
0.566667,1.401500,2.992500,458.710161,2.917700
0.583333,1.654750,3.041750,456.694693,2.941153
0.600000,1.718000,3.035000,455.826718,2.827098
0.616667,1.332750,3.031500,455.610620,2.905708
0.633333,1.119000,3.082500,455.968278,2.890164
0.650000,2.217000,3.049500,456.680307,3.005164
0.666667,0.442000,3.112000,454.960469,2.917269
0.683333,0.161250,3.018250,455.915149,2.955362
0.700000,-0.345500,3.043500,449.884371,3.194212
0.716667,-0.375500,3.031500,452.546868,2.966963
0.733333,0.486000,2.954000,452.323748,3.068887
0.750000,1.071750,3.142000,453.174363,2.988973
0.766667,1.019000,2.908500,453.781093,2.982669
0.783333,0.995250,2.975250,454.451402,3.005052
0.800000,0.522000,3.367000,453.629378,2.868916
0.816667,0.232000,3.360500,453.207652,2.861680
0.833333,-0.325000,3.265000,453.948743,2.858014
0.850000,-0.672750,3.276750,454.733904,2.820309
0.866667,-0.725000,3.236000,455.155776,2.853637
0.883333,-0.298500,2.894500,455.072338,2.886719
0.900000,-1.268500,3.288500,453.946868,2.985006
0.916667,-1.799000,3.152250,453.028583,3.196721
0.933333,-2.327000,2.977000,454.145626,3.218049
0.950000,-1.862750,2.685500,457.059680,3.225420
0.966667,-2.195000,2.666000,458.580621,3.081858
0.983333,-2.025250,2.474000,458.018116,3.091327
1.000000,-2.115000,2.708000,457.571395,2.887758
1.016667,-2.367500,2.807500,456.128745,2.934912
1.033333,-1.711000,2.735000,455.748125,2.982209
1.050000,-0.993500,2.863500,453.835631,2.956944
1.066667,-0.642000,2.578000,449.753599,2.785723
1.083333,-0.843250,2.479000,450.280320,2.802005
1.100000,-1.515500,2.313500,453.464060,2.958286
1.116667,0.990750,2.843000,456.384216,2.906925
1.133333,1.725000,2.938000,459.818600,2.648526
1.150000,1.535250,2.971750,461.006403,2.528236
1.166667,1.304500,2.997500,458.151865,2.621042
1.183333,0.502750,3.160750,456.816556,2.625630
1.200000,0.263000,3.088000,454.907353,2.630912
1.216667,-0.282250,3.086750,454.544831,2.741084
1.233333,-0.372000,3.078000,451.170618,2.735405
1.250000,-0.686000,2.763500,450.608112,2.759686
1.266667,-1.389000,2.840000,448.709696,2.766956
1.283333,-1.311500,2.515000,449.854702,2.934567
1.300000,-0.055500,2.546000,452.337355,2.859869
1.316667,1.844000,2.475250,457.221722,2.651322
1.333333,2.389000,2.980000,460.133899,2.557413
1.350000,1.662500,2.901750,458.336088,2.560711
1.366667,1.610500,2.908500,456.075309,2.504939
1.383333,1.230500,2.983000,456.358591,2.536170
1.400000,0.878000,2.960000,457.408203,2.662459
1.416667,1.857500,2.742500,457.787889,2.694522
1.433333,0.807500,2.911000,457.552653,2.666075
1.450000,0.959000,2.958500,456.885305,2.582583
1.466667,1.509000,2.564000,459.710929,2.805839
1.483333,-0.657750,2.499250,459.939069,2.756230
1.500000,-2.162500,2.390000,466.846577,2.675234
1.516667,-2.271500,2.603750,464.240299,2.821297
1.533333,-1.366000,2.668000,461.010628,2.967359
1.550000,-1.426000,2.956000,460.406395,2.975787
1.566667,-1.771500,3.019000,461.738124,2.982958
1.583333,-2.034250,2.575750,459.431875,2.992309
1.600000,-1.623000,2.496000,460.938589,3.001122
1.616667,-1.019250,1.617750,461.233270,2.885695
1.633333,-2.191500,2.918500,460.989048,3.007364
1.650000,-1.253250,1.804750,460.977336,3.163587
1.666667,-1.409000,2.140000,460.722653,3.081838
1.683333,-1.172250,1.824750,461.062963,2.976430
1.700000,-2.046500,2.841500,459.949842,2.905923
1.716667,-1.806750,2.936500,458.813274,2.954128
1.733333,-1.901000,2.843000,457.777329,2.793520
1.750000,-1.513000,2.732250,458.881238,3.062348
1.766667,-1.940500,2.877000,459.813590,2.889184
1.783333,-1.485250,2.857000,458.229213,3.014247
1.800000,-1.118000,3.139000,455.798758,2.803900
1.816667,-0.428250,2.776250,458.358762,2.759247
1.833333,-0.740000,2.810500,458.896413,2.765223
1.850000,-0.800750,2.666000,460.391719,2.890192
1.866667,-1.155000,2.516000,460.299696,2.861173
1.883333,-0.425000,2.651500,457.577515,2.739919
1.900000,-0.053000,2.636000,454.379221,2.675531
1.916667,-0.751500,2.925500,453.249998,2.688225
1.933333,-1.069000,3.128000,455.514066,2.719069
1.950000,-0.465750,3.145500,457.681330,2.731406
1.966667,-0.338500,2.824500,455.342272,2.742281
1.983333,0.157250,2.875000,454.137665,2.753156
2.000000,-0.335000,2.789000,456.647818,2.764355
2.016667,-0.315250,2.767750,456.813440,2.775765
2.033333,-0.310000,2.831500,455.329382,2.769343
2.050000,-0.516000,2.711500,455.891888,2.762921
2.066667,-1.082000,2.683000,458.413753,2.771506
2.083333,-0.549250,2.574500,457.171412,2.631156
2.100000,0.235000,2.294000,456.137980,2.564323
2.116667,1.284750,2.369000,451.736411,2.518432
2.133333,0.690000,2.548000,447.477961,2.538942
2.150000,0.800250,2.268750,448.253742,2.521947
2.166667,0.650500,2.175000,451.479680,2.544391
2.183333,0.363250,2.137750,451.307177,2.633828
2.200000,0.323000,2.115000,449.435303,2.706938
2.216667,-0.157750,2.088750,449.595614,2.738583
2.233333,-0.221500,2.540000,448.882963,2.729063
2.250000,-0.058750,2.633500,448.250010,2.702813
2.266667,0.145000,2.543000,449.997506,2.667042
2.283333,0.504500,2.611500,448.409991,2.589198
2.300000,0.523000,2.475500,450.728896,2.641496
2.316667,0.441000,2.044500,448.263295,2.665262
2.333333,0.680000,3.004000,452.700010,2.689027
2.350000,0.510750,2.905500,452.216564,2.677308
2.366667,0.384500,2.895000,452.160775,2.663811
2.383333,0.238750,2.866750,451.802188,2.553725
2.400000,-0.013000,2.850000,451.476261,2.689512
2.416667,-0.037750,2.979000,451.008450,2.718677
2.433333,-0.087500,2.629500,450.905322,2.687556
2.450000,-0.530750,2.565000,450.200001,2.673281
2.466667,0.137000,2.712000,449.689058,2.683453
2.483333,1.117000,2.389250,452.800628,2.742406
2.500000,0.456500,2.239000,457.363681,2.679281
2.516667,-1.338000,2.253250,457.058982,2.616156
2.533333,-1.759000,2.172000,457.199367,2.579220
2.550000,-1.528250,2.321000,459.741576,2.682267
2.566667,-1.151000,2.111500,460.904065,2.695467
2.583333,-0.901500,2.415750,458.747827,2.873498
2.600000,-0.790000,2.448000,456.288752,2.723958
2.616667,-0.816500,2.498750,458.683117,2.903747
2.633333,-1.334000,2.325500,459.814209,2.827653
2.650000,-1.051250,2.437750,459.068898,2.878747
2.666667,-1.154000,2.545000,457.654989,2.852334
2.683333,-1.081500,2.565750,459.814524,2.832423
2.700000,-1.445000,2.477000,461.583121,2.857595
2.716667,-1.424250,2.509250,460.060471,2.881928
2.733333,-1.397000,2.225000,458.175324,2.840952
2.750000,-1.521250,2.280250,459.087975,2.759654
2.766667,-1.294000,2.537000,461.369528,2.770951
2.783333,-1.102250,2.143250,459.440165,2.783416
2.800000,-1.028000,2.244000,457.933134,2.782933
2.816667,-1.110750,2.351500,457.805768,2.700320
2.833333,-1.300000,2.410000,457.531083,2.784554
2.850000,-1.424250,2.560000,458.196729,2.868788
2.866667,-1.783000,2.370000,458.319052,2.916997
2.883333,-1.685750,2.354500,457.286566,2.796939
2.900000,-1.718000,2.650000,455.171249,2.603611
2.916667,-1.477500,2.488500,455.173602,2.753845
2.933333,-0.333000,2.641000,451.428913,2.811417
2.950000,-0.049750,2.766000,449.218902,2.730209
2.966667,-0.190000,2.757000,447.553902,2.608827
2.983333,-0.161000,2.779000,446.980475,2.666956
3.000000,-0.603000,2.858000,449.141408,2.821159
3.016667,-0.442250,2.804250,449.760143,2.839858
3.033333,-0.328000,2.634000,448.187334,2.819433
3.050000,-0.583250,2.933500,448.530151,2.679965
3.066667,-0.570000,2.923000,447.977029,2.750418
3.083333,-0.582500,2.991750,447.693438,2.813398
3.100000,-0.552000,2.924500,450.306549,2.795003
3.116667,-0.915500,3.023750,448.900299,2.825191
3.133333,-0.952000,2.774000,449.698578,2.789062
3.150000,-0.038500,2.800500,447.402182,2.630947
3.166667,0.150500,2.414500,447.249050,2.733650
3.183333,0.213500,2.571250,445.547501,2.710887
3.200000,0.178625,2.852563,446.772814,2.674147
3.216667,0.567250,2.956188,446.307492,2.624706
