Time_hours,Bz_GSM_nT
0.50,3.3
1.50,3.3
2.50,2.4
3.50,2.8
4.50,1.5
5.50,-4.7
6.50,-5.6
7.50,2.2
8.50,7.3
9.50,4.4
10.50,3.9
11.50,4.1
12.50,3.6
13.50,4.3
14.50,4.7
15.50,3.3
16.50,4.1
17.50,4.4
18.50,4.8
19.50,4.6
20.50,1.8
21.50,0.4
22.50,0.4
23.50,-0.2
24.50,-2.0
25.50,-3.2
26.50,-4.3
27.50,-1.8
28.50,-2.7
29.50,-2.4
30.50,-0.3
31.50,0.2
32.50,-2.2
33.50,-1.5
34.50,-1.1
35.50,1.4
36.50,0.4
37.50,-0.1
38.50,0.3
39.50,-0.4
40.50,-0.4
41.50,0.7
42.50,1.6
43.50,-0.1
44.50,0.3
45.50,-1.1
46.50,1.1
47.50,0.6
48.50,-0.8
49.50,0.1
50.50,1.5
51.50,1.6
52.50,1.4
53.50,-0.9
54.50,-0.7
55.50,0.1
56.50,-9.0
57.50,-14.4
58.50,-3.9
59.50,-9.7
60.50,-2.9
61.50,-6.7
62.50,-0.8
63.50,-5.8
64.50,-7.6
65.50,-10.0
66.50,-11.5
67.50,-8.4
68.50,-5.6
69.50,-1.8
70.50,-1.2
71.50,-0.4
72.50,4.6
73.50,8.9
74.50,8.3
75.50,8.6
76.50,8.7
77.50,8.9
78.50,7.8
79.50,8.0
80.50,8.2
81.50,8.0
82.50,7.4
83.50,6.9
84.50,4.8
85.50,6.1
86.50,6.2
87.50,6.2
88.50,7.8
89.50,9.3
90.50,7.1
91.50,2.6
92.50,2.4
93.50,3.0
94.50,2.6
95.50,2.2
96.50,0.4
97.50,1.1
98.50,3.8
99.50,4.4
100.50,-2.2
101.50,5.4
102.50,5.7
103.50,5.8
104.50,6.0
105.50,5.8
106.50,5.6
107.50,5.5
108.50,6.4
109.50,6.2
110.50,6.0
111.50,5.2
112.50,3.5
113.50,3.5
114.50,2.6
115.50,-1.2
116.50,0.2
117.50,-0.3
118.50,-2.1
119.50,-1.7
120.50,-1.3
121.50,0.9
122.50,-0.8
123.50,-1.9
124.50,-2.8
125.50,-1.8
126.50,-0.5
127.50,-0.3
128.50,-0.9
129.50,-1.4
130.50,0.5
131.50,-0.4
132.50,-0.7
133.50,-2.2
134.50,-1.3
135.50,-0.4
136.50,-3.5
137.50,1.1
138.50,4.0
139.50,5.2
140.50,-2.4
141.50,-2.3
142.50,-4.8
143.50,-7.7
