Time_hours,Kp
0.50,0.7
1.50,0.7
2.50,0.7
3.50,3.3
4.50,3.3
5.50,3.3
6.50,2.3
7.50,2.3
8.50,2.3
9.50,1.7
10.50,1.7
11.50,1.7
12.50,1.0
13.50,1.0
14.50,1.0
15.50,0.3
16.50,0.3
17.50,0.3
18.50,0.3
19.50,0.3
20.50,0.3
21.50,1.0
22.50,1.0
23.50,1.0
24.50,3.3
25.50,3.3
26.50,3.3
27.50,3.7
28.50,3.7
29.50,3.7
30.50,2.7
31.50,2.7
32.50,2.7
33.50,2.0
34.50,2.0
35.50,2.0
36.50,1.7
37.50,1.7
38.50,1.7
39.50,1.3
40.50,1.3
41.50,1.3
42.50,1.7
43.50,1.7
44.50,1.7
45.50,1.3
46.50,1.3
47.50,1.3
48.50,2.0
49.50,2.0
50.50,2.0
51.50,2.3
52.50,2.3
53.50,2.3
54.50,6.7
55.50,6.7
56.50,6.7
57.50,6.3
58.50,6.3
59.50,6.3
60.50,5.7
61.50,5.7
62.50,5.7
63.50,6.3
64.50,6.3
65.50,6.3
66.50,6.7
67.50,6.7
68.50,6.7
69.50,6.0
70.50,6.0
71.50,6.0
72.50,3.0
73.50,3.0
74.50,3.0
75.50,2.3
76.50,2.3
77.50,2.3
78.50,2.0
79.50,2.0
80.50,2.0
81.50,1.7
82.50,1.7
83.50,1.7
84.50,1.3
85.50,1.3
86.50,1.3
87.50,0.7
88.50,0.7
89.50,0.7
90.50,1.7
91.50,1.7
92.50,1.7
93.50,1.3
94.50,1.3
95.50,1.3
96.50,1.3
97.50,1.3
98.50,1.3
99.50,1.3
100.50,1.3
101.50,1.3
102.50,0.7
103.50,0.7
104.50,0.7
105.50,0.3
106.50,0.3
107.50,0.3
108.50,0.7
109.50,0.7
110.50,0.7
111.50,0.7
112.50,0.7
113.50,0.7
114.50,1.7
115.50,1.7
116.50,1.7
117.50,2.7
118.50,2.7
119.50,2.7
120.50,2.0
121.50,2.0
122.50,2.0
123.50,2.7
124.50,2.7
125.50,2.7
126.50,1.7
127.50,1.7
128.50,1.7
129.50,0.7
130.50,0.7
131.50,0.7
132.50,2.0
133.50,2.0
134.50,2.0
135.50,2.3
136.50,2.3
137.50,2.3
138.50,2.7
139.50,2.7
140.50,2.7
141.50,3.3
142.50,3.3
143.50,3.3
