Time_hours,Bz_GSM_nT
0.50,2.8
1.50,4.5
2.50,-2.3
3.50,-1.6
4.50,2.3
5.50,-3.0
6.50,-2.9
7.50,-0.8
8.50,-4.7
9.50,-1.4
10.50,4.1
11.50,-1.7
12.50,-1.6
13.50,-1.9
14.50,0.9
15.50,-1.9
16.50,2.6
17.50,2.6
18.50,4.9
19.50,4.3
20.50,4.0
21.50,3.3
22.50,5.6
23.50,5.7
24.50,2.7
25.50,2.6
26.50,5.1
27.50,5.4
28.50,4.7
29.50,3.9
30.50,3.1
31.50,0.7
32.50,1.8
33.50,3.3
34.50,0.4
35.50,1.2
36.50,-5.8
37.50,-2.2
38.50,4.7
39.50,4.6
40.50,2.7
41.50,4.0
42.50,2.7
43.50,-1.7
44.50,4.3
45.50,3.1
46.50,3.7
47.50,3.1
48.50,5.9
49.50,4.6
50.50,-1.0
51.50,-1.9
52.50,0.0
53.50,1.5
54.50,-2.9
55.50,3.4
56.50,1.9
57.50,5.2
58.50,0.1
59.50,1.2
60.50,-2.5
61.50,1.5
62.50,3.4
63.50,1.0
64.50,0.4
65.50,0.9
66.50,0.8
67.50,-0.1
68.50,0.9
69.50,-0.1
70.50,-2.7
71.50,-1.6
72.50,-2.7
73.50,-2.9
74.50,0.7
75.50,2.9
76.50,-1.5
77.50,-3.4
78.50,-3.7
79.50,-2.0
80.50,-3.5
81.50,-3.3
82.50,-3.9
83.50,-4.0
84.50,-3.6
85.50,-0.4
86.50,0.4
87.50,-0.9
88.50,-1.5
89.50,1.3
90.50,4.6
91.50,8.6
92.50,-0.1
93.50,4.3
94.50,4.0
95.50,4.5
96.50,4.3
97.50,-0.3
98.50,2.2
99.50,-4.0
100.50,4.6
101.50,-3.1
102.50,-6.9
103.50,9.7
104.50,3.8
105.50,7.2
106.50,4.0
107.50,12.1
108.50,8.7
109.50,6.2
110.50,9.4
111.50,9.5
112.50,7.9
113.50,8.6
114.50,8.2
115.50,6.7
116.50,5.5
117.50,5.1
118.50,7.1
119.50,6.0
120.50,6.6
121.50,6.5
122.50,3.1
123.50,4.1
124.50,8.9
125.50,20.1
126.50,-6.4
127.50,-5.6
128.50,-16.4
129.50,-4.8
130.50,9.0
131.50,9.3
132.50,-10.0
133.50,-11.0
134.50,-18.6
135.50,-17.7
136.50,-16.0
137.50,-17.2
138.50,-13.7
139.50,-13.0
140.50,-15.4
141.50,-17.3
142.50,-16.5
143.50,-15.9
144.50,-5.7
145.50,-5.2
146.50,-2.1
147.50,-3.5
148.50,-1.8
149.50,-0.9
150.50,3.8
151.50,-0.1
152.50,-0.8
153.50,-0.8
154.50,-0.3
155.50,0.0
156.50,1.5
157.50,2.4
158.50,-5.4
159.50,-2.5
160.50,3.2
161.50,0.8
162.50,-3.4
163.50,-0.1
164.50,0.5
165.50,-0.8
166.50,-2.8
167.50,-3.1
168.50,-0.8
169.50,-0.7
170.50,-0.9
171.50,-1.1
172.50,-1.2
173.50,1.7
174.50,-0.9
175.50,-1.2
176.50,-4.9
177.50,-4.0
178.50,-1.9
179.50,-5.8
180.50,-3.1
181.50,-3.2
182.50,-0.3
183.50,4.7
184.50,5.2
185.50,0.3
186.50,1.1
187.50,0.9
188.50,-3.7
189.50,-1.3
190.50,0.1
191.50,-0.3
192.50,-3.1
193.50,0.4
194.50,-1.5
195.50,-2.5
196.50,-1.9
197.50,-4.6
198.50,4.0
199.50,-0.7
200.50,-1.8
201.50,-3.0
202.50,-1.2
203.50,2.5
204.50,0.6
205.50,2.8
206.50,0.9
207.50,0.4
208.50,-2.2
209.50,0.1
210.50,1.9
211.50,-1.4
212.50,2.3
213.50,-0.3
214.50,-3.4
215.50,-2.5
