time, L, magnetic local time
3.944152777777777952e-01,2.997592953499615298e+00,4.178945359905031687e+00
8.520619444444444968e-01,1.993587880661182421e+00,5.887443323051864574e+00
1.921155833333333396e+00,2.004074074000000039e+00,1.922710240086666644e+01
2.363785277777777694e+00,3.001245314367879224e+00,2.098775678389801769e+01
2.890710833333333341e+00,4.001576559090697316e+00,2.212200230484743457e+01
3.541084166666666810e+00,5.000206555333333469e+00,2.303917585740000007e+01
4.485355555555555540e+00,6.002082270666666552e+00,6.339302300000000320e-03
7.403251666666666786e+00,5.997936951666667404e+00,2.325978078749999955e+00
8.405837777777778186e+00,4.998005032362625499e+00,3.303179759501984503e+00
9.068211388888888891e+00,3.999442050405983551e+00,4.274822556614770619e+00
9.571016666666666950e+00,2.998071835515863981e+00,5.541067550425462507e+00
9.947372777777777841e+00,1.997599307500000032e+00,7.404518265749999273e+00
1.085387027777777824e+01,2.006450867578012165e+00,1.921798449000800701e+01
1.128144805555555585e+01,3.000671375999999668e+00,2.123452710880000183e+01
1.182945166666666736e+01,4.001872456690423796e+00,2.242425861457364533e+01
1.254606777777777715e+01,5.002678709999999640e+00,2.329706903485000069e+01
1.368827722222222221e+01,6.000809199333333233e+00,1.771505853166666644e-01
1.595023694444444473e+01,5.999571579999999571e+00,1.532424489999999917e+00
1.705720888888889064e+01,4.998299187499999796e+00,2.369995972916666638e+00
1.776675694444444531e+01,3.996948675999999701e+00,3.169071510000000202e+00
1.833183333333333209e+01,2.999926151801582286e+00,4.212050905056758943e+00
1.882180250000000044e+01,1.994927921431260298e+00,6.045312812319035167e+00
1.983207361111110956e+01,2.006890764321714204e+00,1.843499312845926141e+01
2.027998055555555723e+01,3.000056263999999917e+00,2.038633227326666741e+01
2.082409055555555710e+01,4.003879851936178902e+00,2.158687150652910347e+01
2.150948472222222208e+01,5.002068187999999971e+00,2.251173253380000006e+01
2.250614388888888939e+01,6.001330148166666767e+00,2.344606683808333258e+01
2.519079555555555672e+01,5.998027102978241487e+00,1.540737148723287930e+00
2.616470111111111052e+01,4.999723575554221533e+00,2.513427811500414943e+00
2.684404694444444317e+01,3.997670003199218058e+00,3.460311575406305185e+00
2.737909055555555682e+01,2.995981027833333421e+00,4.611504973933333140e+00
2.781797222222222388e+01,1.999173455312050152e+00,6.346972025703252029e+00
2.886429000000000045e+01,2.004125627025308720e+00,1.965262589958386741e+01
2.933024666666666747e+01,3.003937622209944980e+00,2.145100127084319297e+01
2.986834694444444338e+01,4.001517711126600041e+00,2.253958238038224238e+01
3.053570527777777954e+01,5.001787880999999381e+00,2.340750313690000084e+01
3.151993111111110935e+01,6.001782332499999484e+00,3.055302432499999998e-01
3.411776277777777722e+01,5.998328467999999525e+00,2.082207280250000014e+00
3.517884500000000259e+01,4.997187357285500120e+00,2.957951155781750607e+00
3.588824638888888785e+01,3.999988438637817723e+00,3.849658015504819897e+00
3.645637138888888984e+01,2.997163588690571423e+00,5.119602579035231749e+00
3.692530500000000160e+01,1.997845782125752923e+00,7.508149604373516084e+00
3.779427111111110804e+01,2.005824732414678735e+00,1.873735337667179479e+01
3.821214361111110946e+01,3.006271679999999780e+00,2.073753783000000084e+01
3.872620027777777807e+01,4.002153027999999502e+00,2.192838951519999924e+01
