time,L,MLT,number density,bmag,wavemags
0.000000000000000000e+00,5.803378679999999790e+00,2.067517244008333321e+01,8.423500061035156250e+01,1.603840026855468750e+02,8.756048676158503536e-04
3.029444444444444415e-03,5.806083367999999467e+00,2.067788676171666751e+01,7.650718601735432856e+01,1.599461618750000014e+02,1.485074262079400138e-03
6.058888888888888831e-03,5.808788056000000033e+00,2.068060108335000180e+01,7.650836770121256336e+01,1.593784315136718703e+02,6.777015834111073563e-04
9.088611111111111543e-03,5.811492991999999802e+00,2.068331565386666782e+01,7.651054866917928621e+01,1.590563645205077989e+02,1.442775065114207085e-03
1.211805555555555552e-02,5.814197680000000368e+00,2.068602997550000211e+01,7.651200103759765625e+01,1.585324936806640892e+02,9.356613629604923488e-04
1.514805555555555523e-02,5.816894569000000459e+00,2.068874202990000200e+01,7.651308927281696981e+01,1.580924377070311948e+02,3.854821993237167455e-04
1.817749999999999921e-02,5.819571992000000193e+00,2.069144726320000061e+01,7.651399993896484375e+01,1.575997781386718657e+02,8.003344354525684110e-04
2.120666666666666533e-02,5.822249169500000043e+00,2.069415224844999912e+01,7.651599884033203125e+01,1.572848633623046908e+02,6.281735592557705907e-04
2.423638888888888718e-02,5.824926837999999663e+00,2.069685772979999783e+01,7.651745620600382836e+01,1.566416968388671194e+02,5.002593677108930614e-04
2.726583333333333289e-02,5.827604260999999397e+00,2.069956296309999999e+01,7.651899719238281250e+01,1.563961627548828233e+02,5.269361762655880473e-04
3.029527777777777861e-02,5.830281684000000020e+00,2.070226819639999860e+01,7.788949557113647870e+01,1.560336351025390513e+02,3.140388837114822373e-04
3.332444444444444126e-02,5.832938437833332657e+00,2.070496603336666652e+01,7.656222503662110057e+01,1.555321145537112386e+02,7.377720413689905186e-04
3.635361111111111432e-02,5.835590170333333049e+00,2.070766211286666447e+01,8.279842459615072414e+01,1.551730101123046381e+02,5.028037067335663262e-04
3.938305555555555310e-02,5.838242145999999799e+00,2.071035843960000022e+01,7.652274310048420602e+01,1.547787029052736045e+02,7.497462174058987586e-04
4.241166666666666696e-02,5.840893392166666587e+00,2.071305402463333323e+01,7.652355532073974587e+01,1.546375062294921463e+02,5.555020091615832031e-04
4.544083333333333308e-02,5.843545124666666091e+00,2.071575010413333118e+01,7.652500152587890625e+01,1.542859080615234859e+02,1.120616680902266921e-03
4.846972222222221960e-02,5.846188424102659376e+00,2.071844337030512406e+01,8.425407959111531397e+01,1.540850379287109604e+02,7.946604899009640727e-04
5.149805555555555386e-02,5.848812172444293189e+00,2.072113016855496781e+01,7.730791776657105174e+01,1.538211509843750662e+02,4.153917306265521325e-04
5.452694444444444732e-02,5.851436402119323255e+00,2.072381745970487543e+01,8.425628254699707043e+01,1.536668583466796747e+02,3.674213772565226160e-04
